protein	go_term	degree	norm_score	true_label
Q6DBR6	GO:0060341	96	0.401673640167364	1
Q6DBR6	GO:1904427	96	0.401673640167364	1
E7FE13	GO:0048468	96	0.401673640167364	1
Q6DBR6	GO:0036094	96	0.401673640167364	1
Q7ZUX3	GO:0005575	95	0.39748953974895396	1
Q8AV61	GO:0048523	95	0.39748953974895396	1
A0A2R8QF68	GO:1990806	95	0.39748953974895396	1
F1QDF8	GO:0000978	95	0.39748953974895396	1
Q6IQ73	GO:0005770	95	0.39748953974895396	1
Q6NZ22	GO:0009889	95	0.39748953974895396	1
Q9DGE1	GO:0010831	94	0.39330543933054396	1
Q9DGE1	GO:0045597	94	0.39330543933054396	1
Q6DRJ7	GO:0031134	94	0.39330543933054396	1
Q7ZWE6	GO:0051656	94	0.39330543933054396	1
Q7SXN5	GO:0035639	94	0.39330543933054396	1
Q6DRJ7	GO:0003674	94	0.39330543933054396	1
Q7ZWE6	GO:0099111	94	0.39330543933054396	1
A3KPQ7	GO:0030214	94	0.39330543933054396	1
Q5SPB6	GO:0048583	93	0.3891213389121339	1
Q1MTE5	GO:0042995	92	0.38493723849372385	1
Q58G59	GO:0016818	92	0.38493723849372385	1
Q568P9	GO:0009889	92	0.38493723849372385	1
A9LMC0	GO:0009891	92	0.38493723849372385	1
A9LMC0	GO:0042054	92	0.38493723849372385	1
A9LMC0	GO:0045944	92	0.38493723849372385	1
F1RDG9	GO:0032502	92	0.38493723849372385	1
Q3YL68	GO:0009101	92	0.38493723849372385	1
A9LMC0	GO:0008276	92	0.38493723849372385	1
Q6PH18	GO:0140110	92	0.38493723849372385	1
Q1LXK5	GO:0032559	91	0.3807531380753138	1
Q5PQY6	GO:0007031	91	0.3807531380753138	1
Q1LXK5	GO:0035279	91	0.3807531380753138	1
Q804Q5	GO:0007417	91	0.3807531380753138	1
Q6DRG7	GO:0030234	91	0.3807531380753138	1
Q90XE6	GO:0010468	91	0.3807531380753138	1
Q5PQY6	GO:0072662	91	0.3807531380753138	1
Q6P3G4	GO:0005819	91	0.3807531380753138	1
O42363	GO:0070325	91	0.3807531380753138	1
Q9I9L0	GO:0003674	91	0.3807531380753138	1
A9JTG5	GO:0043632	90	0.37656903765690375	1
Q6NYJ3	GO:0009892	90	0.37656903765690375	1
F1QB30	GO:0048518	90	0.37656903765690375	1
A1YB07	GO:0035912	90	0.37656903765690375	1
Q9YHX4	GO:0048640	90	0.37656903765690375	1
Q9YHX4	GO:0048870	90	0.37656903765690375	1
Q1ECZ4	GO:0099080	90	0.37656903765690375	1
A8WGA0	GO:0005488	90	0.37656903765690375	1
Q9YHX4	GO:0051241	90	0.37656903765690375	1
E7F590	GO:0033365	90	0.37656903765690375	1
F1QB30	GO:0000209	90	0.37656903765690375	1
Q6NWG4	GO:0042054	89	0.3723849372384937	1
P53406	GO:0003779	89	0.3723849372384937	0
Q7SXS7	GO:1902680	89	0.3723849372384937	1
Q7SXS7	GO:0003984	89	0.3723849372384937	0
Q7SXW6	GO:0017076	89	0.3723849372384937	1
Q9PTJ3	GO:0030099	89	0.3723849372384937	1
P53406	GO:0007411	89	0.3723849372384937	1
B3DFW5	GO:0003779	89	0.3723849372384937	0
B3DFW5	GO:0003984	89	0.3723849372384937	0
P57095	GO:0044389	89	0.3723849372384937	1
A1A5H8	GO:0050794	89	0.3723849372384937	1
P53406	GO:0003984	89	0.3723849372384937	0
P53406	GO:0035476	89	0.3723849372384937	1
Q6PFJ9	GO:0019222	88	0.3682008368200837	1
Q7SZS1	GO:0003779	88	0.3682008368200837	0
Q7SZS1	GO:0003984	88	0.3682008368200837	0
Q6PFJ9	GO:0060255	88	0.3682008368200837	1
Q6PFJ9	GO:0065007	88	0.3682008368200837	1
Q5BL29	GO:0003984	88	0.3682008368200837	0
Q7SZS1	GO:0034451	88	0.3682008368200837	0
Q6PFJ9	GO:0019005	88	0.3682008368200837	1
Q2TJA6	GO:0003779	88	0.3682008368200837	0
Q6PFJ9	GO:0016740	88	0.3682008368200837	1
Q5BL29	GO:0006811	88	0.3682008368200837	1
Q2TJA6	GO:0003984	88	0.3682008368200837	0
Q1LVQ2	GO:0071230	88	0.3682008368200837	1
Q2TJA6	GO:0050794	88	0.3682008368200837	1
Q6PFJ9	GO:0003824	88	0.3682008368200837	1
Q5BL29	GO:0005737	88	0.3682008368200837	1
Q5BL29	GO:0003779	88	0.3682008368200837	0
Q7SZS1	GO:0016818	88	0.3682008368200837	0
F1QNW4	GO:0003984	87	0.36401673640167365	0
Q6PBU7	GO:0003984	87	0.36401673640167365	0
Q4V920	GO:0006810	87	0.36401673640167365	1
Q90260	GO:0003779	87	0.36401673640167365	0
Q4V920	GO:0050793	87	0.36401673640167365	1
Q90260	GO:0003984	87	0.36401673640167365	0
Q6PBU7	GO:0016818	87	0.36401673640167365	0
Q90260	GO:0016818	87	0.36401673640167365	0
Q6NV04	GO:0016818	87	0.36401673640167365	0
F1QNW4	GO:0003779	87	0.36401673640167365	0
Q6PBU7	GO:0034451	87	0.36401673640167365	0
Q90260	GO:0045893	87	0.36401673640167365	1
Q4V920	GO:0048518	87	0.36401673640167365	1
Q6PBU7	GO:0003779	87	0.36401673640167365	0
F1QNW4	GO:0016818	87	0.36401673640167365	0
Q6NV04	GO:0003984	87	0.36401673640167365	1
Q90260	GO:0034451	87	0.36401673640167365	0
Q6NV04	GO:0034451	87	0.36401673640167365	0
Q6NV04	GO:0003779	87	0.36401673640167365	0
Q6PBU7	GO:0005759	87	0.36401673640167365	1
A1L2G3	GO:0043632	87	0.36401673640167365	1
F1QNW4	GO:0034451	87	0.36401673640167365	0
Q568K2	GO:0003984	86	0.3598326359832636	0
Q805B2	GO:0003779	86	0.3598326359832636	0
Q6DGW9	GO:0003779	86	0.3598326359832636	0
Q6EJB7	GO:0000122	86	0.3598326359832636	1
Q90481	GO:0003779	86	0.3598326359832636	0
Q6DGW9	GO:0034451	86	0.3598326359832636	0
Q6DGW9	GO:0003984	86	0.3598326359832636	0
Q6DGW9	GO:0016818	86	0.3598326359832636	0
Q90481	GO:0016818	86	0.3598326359832636	0
Q568K2	GO:0034451	86	0.3598326359832636	0
Q568K2	GO:0016818	86	0.3598326359832636	0
Q6DGW9	GO:0042402	86	0.3598326359832636	0
Q805B2	GO:0003984	86	0.3598326359832636	0
Q568K2	GO:0003779	86	0.3598326359832636	0
Q90481	GO:0003984	86	0.3598326359832636	0
Q6EJB7	GO:0045935	86	0.3598326359832636	1
Q90481	GO:0034451	86	0.3598326359832636	0
Q90423	GO:0097159	85	0.35564853556485354	1
Q6DGM2	GO:0003779	85	0.35564853556485354	0
A8CVX7	GO:0051239	85	0.35564853556485354	0
A8CVX7	GO:0050789	85	0.35564853556485354	1
Q1L8U8	GO:0003779	85	0.35564853556485354	0
Q08BR4	GO:0051239	85	0.35564853556485354	0
Q804R0	GO:0003779	85	0.35564853556485354	0
Q6TNS7	GO:0003779	85	0.35564853556485354	0
Q90423	GO:0003779	85	0.35564853556485354	0
A8CVX7	GO:0003779	85	0.35564853556485354	0
Q08BR4	GO:0003779	85	0.35564853556485354	0
A0A0R4IVV0	GO:0003779	85	0.35564853556485354	0
Q68FN7	GO:0003779	85	0.35564853556485354	0
Q08BR4	GO:0042402	85	0.35564853556485354	0
Q6DGM2	GO:0034451	85	0.35564853556485354	0
Q08BR4	GO:0016274	85	0.35564853556485354	0
Q1L8U8	GO:0042402	85	0.35564853556485354	0
A0A0R4IVV0	GO:0019538	85	0.35564853556485354	1
Q6DGM2	GO:0016818	85	0.35564853556485354	0
A8CVX7	GO:0003984	85	0.35564853556485354	0
Q804R0	GO:0042402	85	0.35564853556485354	0
Q6TNS7	GO:0034451	85	0.35564853556485354	0
Q6DGM2	GO:0003984	85	0.35564853556485354	0
A8CVX7	GO:0016818	85	0.35564853556485354	0
Q08BR4	GO:0034451	85	0.35564853556485354	0
A0A0R4IVV0	GO:0016818	85	0.35564853556485354	0
Q68FN7	GO:0003984	85	0.35564853556485354	0
Q90423	GO:0034451	85	0.35564853556485354	0
Q90423	GO:0042402	85	0.35564853556485354	0
Q08BR4	GO:0016818	85	0.35564853556485354	0
Q1L8U8	GO:0016818	85	0.35564853556485354	0
Q1L8U8	GO:0034451	85	0.35564853556485354	0
Q804R0	GO:0016818	85	0.35564853556485354	0
Q68FN7	GO:0098800	85	0.35564853556485354	1
Q90423	GO:0016818	85	0.35564853556485354	0
Q08BR4	GO:0003984	85	0.35564853556485354	0
Q6TNS7	GO:0016818	85	0.35564853556485354	1
Q68FN7	GO:0034451	85	0.35564853556485354	0
A0A0R4IVV0	GO:0034451	85	0.35564853556485354	0
A8CVX7	GO:0042402	85	0.35564853556485354	0
Q6TNS7	GO:0042402	85	0.35564853556485354	0
Q804R0	GO:0003984	85	0.35564853556485354	0
Q90423	GO:0003984	85	0.35564853556485354	0
Q68FN7	GO:0016818	85	0.35564853556485354	0
A8CVX7	GO:0016274	85	0.35564853556485354	0
Q804R0	GO:0034451	85	0.35564853556485354	0
A0A0R4IVV0	GO:0003984	85	0.35564853556485354	0
A8CVX7	GO:0034451	85	0.35564853556485354	0
Q6TNS7	GO:0003984	85	0.35564853556485354	0
Q6DGM2	GO:0043167	85	0.35564853556485354	1
Q1L8U8	GO:0003984	85	0.35564853556485354	0
P0C7U5	GO:0051239	84	0.3514644351464435	0
Q6E2N3	GO:0034451	84	0.3514644351464435	0
Q7T2G1	GO:0016818	84	0.3514644351464435	0
Q7T2G1	GO:0007399	84	0.3514644351464435	0
Q6E2N3	GO:0016818	84	0.3514644351464435	0
Q7T2G1	GO:0034451	84	0.3514644351464435	0
Q803L0	GO:0016818	84	0.3514644351464435	0
Q7T2G1	GO:0005925	84	0.3514644351464435	0
Q6E2N3	GO:0042402	84	0.3514644351464435	0
Q6DGL6	GO:0034451	84	0.3514644351464435	0
P0C7U5	GO:0034451	84	0.3514644351464435	0
Q6NYU3	GO:0003779	84	0.3514644351464435	0
P0C7U5	GO:0016818	84	0.3514644351464435	0
P0C7U5	GO:0042402	84	0.3514644351464435	0
Q7T2G1	GO:0035965	84	0.3514644351464435	0
P0C7U5	GO:0016274	84	0.3514644351464435	0
Q5MJ86	GO:0003779	84	0.3514644351464435	0
Q6E2N3	GO:0016274	84	0.3514644351464435	0
Q803L0	GO:0042402	84	0.3514644351464435	0
Q6NYU3	GO:0042402	84	0.3514644351464435	0
Q6NYU3	GO:0007423	84	0.3514644351464435	1
Q803L0	GO:0003779	84	0.3514644351464435	0
Q6DGL6	GO:0005925	84	0.3514644351464435	0
Q7T2G1	GO:0042402	84	0.3514644351464435	0
Q6DGL6	GO:0016818	84	0.3514644351464435	0
Q6DGL6	GO:0042402	84	0.3514644351464435	0
Q6E2N3	GO:0003779	84	0.3514644351464435	0
P0C7U5	GO:0003779	84	0.3514644351464435	0
Q6DGL6	GO:0003700	84	0.3514644351464435	1
Q6NYU3	GO:0016818	84	0.3514644351464435	0
Q6DGL6	GO:0044729	84	0.3514644351464435	0
Q5RIC0	GO:0003779	84	0.3514644351464435	0
Q5RIC0	GO:0007399	84	0.3514644351464435	1
Q803L0	GO:0034451	84	0.3514644351464435	0
Q6NYU3	GO:0034451	84	0.3514644351464435	0
Q5MJ86	GO:0016818	84	0.3514644351464435	0
Q6DGL6	GO:0003779	84	0.3514644351464435	0
Q6E2N3	GO:0051239	84	0.3514644351464435	0
Q5MJ86	GO:0003984	84	0.3514644351464435	0
Q6DGL6	GO:0060415	84	0.3514644351464435	0
Q6DGL6	GO:2000765	84	0.3514644351464435	0
Q803L0	GO:0031328	84	0.3514644351464435	1
Q7T2G1	GO:2000765	84	0.3514644351464435	0
Q803L0	GO:0003984	84	0.3514644351464435	0
Q7T2G1	GO:0003984	84	0.3514644351464435	0
Q6E2N3	GO:0003984	84	0.3514644351464435	0
Q5RIC0	GO:0003984	84	0.3514644351464435	0
Q6DGL6	GO:0051239	84	0.3514644351464435	0
Q6NYU3	GO:0016274	84	0.3514644351464435	0
Q7T2G1	GO:0006569	84	0.3514644351464435	0
Q7T2G1	GO:0016274	84	0.3514644351464435	0
Q6DGL6	GO:0006569	84	0.3514644351464435	0
Q6DGL6	GO:0016274	84	0.3514644351464435	0
Q8AXB3	GO:0048844	84	0.3514644351464435	1
Q5MJ86	GO:0034451	84	0.3514644351464435	0
Q8AXB3	GO:0032553	84	0.3514644351464435	1
P0C7U5	GO:0003984	84	0.3514644351464435	0
Q7T2G1	GO:0003779	84	0.3514644351464435	0
Q7T2G1	GO:0044729	84	0.3514644351464435	0
Q6DGL6	GO:0003984	84	0.3514644351464435	0
Q6NYU3	GO:0003984	84	0.3514644351464435	0
Q7T2G1	GO:0060415	84	0.3514644351464435	0
P60622	GO:0051239	83	0.3472803347280335	0
X1WER2	GO:0003984	83	0.3472803347280335	0
X1WER2	GO:0042402	83	0.3472803347280335	0
Q6GMI9	GO:0005925	83	0.3472803347280335	0
Q6P0E5	GO:0042402	83	0.3472803347280335	0
Q6P0E5	GO:0005925	83	0.3472803347280335	0
P60622	GO:0042402	83	0.3472803347280335	0
Q6P0E5	GO:0035965	83	0.3472803347280335	0
Q6GMI9	GO:0035965	83	0.3472803347280335	0
B3DH20	GO:0005925	83	0.3472803347280335	0
Q6GMI9	GO:0042402	83	0.3472803347280335	0
Q6P0E5	GO:0005575	83	0.3472803347280335	1
P60622	GO:0005925	83	0.3472803347280335	0
A2AV36	GO:0035965	83	0.3472803347280335	0
A2AV36	GO:0042402	83	0.3472803347280335	0
P60622	GO:0035965	83	0.3472803347280335	0
B3DH20	GO:0035965	83	0.3472803347280335	0
Q6P0E5	GO:0048883	83	0.3472803347280335	0
B3DH20	GO:0042402	83	0.3472803347280335	0
Q7ZVS9	GO:0003984	83	0.3472803347280335	0
A2AV36	GO:0016274	83	0.3472803347280335	1
A2AV36	GO:0005925	83	0.3472803347280335	0
B3DH20	GO:0051239	83	0.3472803347280335	0
Q6GMG5	GO:0003779	83	0.3472803347280335	0
P60622	GO:0034451	83	0.3472803347280335	0
A2AV36	GO:1902679	83	0.3472803347280335	0
Q6P0E5	GO:0051239	83	0.3472803347280335	0
Q6P0E5	GO:1902679	83	0.3472803347280335	0
B3DH20	GO:1902679	83	0.3472803347280335	0
Q6GMG5	GO:0034451	83	0.3472803347280335	0
