protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score	label
FBgn0034938	GO:0034451	9	5	0	0.0	FN
FBgn0262477	GO:0003700	28	287	4	0.012698412698412698	FP
FBgn0036921	GO:0003700	106	287	1	0.002544529262086514	FN
FBgn0286898	GO:0070971	0	16	0	0.0	FP
FBgn0036734	GO:0070971	110	16	0	0.0	FN
FBgn0000166	GO:0008293	93	22	1	0.008695652173913044	FP
FBgn0267972	GO:0008293	35	22	0	0.0	FN
FBgn0026598	GO:0007420	33	44	1	0.012987012987012988	FP
FBgn0032117	GO:0007420	4	44	0	0.0	FN
FBgn0035691	GO:0005634	77	2250	36	0.015470562956596476	FP
FBgn0025615	GO:0005634	26	2250	5	0.0021968365553602814	FN
FBgn0266538	GO:0003674	0	3150	0	0.0	FP
FBgn0030683	GO:0003674	40	3150	1	0.00031347962382445143	FN
FBgn0266486	GO:0008150	0	1771	0	0.0	FP
FBgn0031773	GO:0008150	19	1771	0	0.0	FN
FBgn0051343	GO:0042277	26	23	2	0.04081632653061224	FP
FBgn0011648	GO:0042277	202	23	0	0.0	FN
FBgn0033341	GO:0140861	69	15	12	0.14285714285714285	TP
FBgn0000229	GO:0140861	201	15	0	0.0	FN
FBgn0037485	GO:0055085	2	388	0	0.0	FP
FBgn0003978	GO:0055085	62	388	0	0.0	FN
FBgn0003218	GO:0070300	0	5	0	0.0	FP
FBgn0033815	GO:0070300	15	5	0	0.0	FN
FBgn0032117	GO:0006486	4	42	0	0.0	FP
FBgn0283451	GO:0006486	19	42	0	0.0	FN
FBgn0003861	GO:0042802	21	30	2	0.0392156862745098	FP
FBgn0000547	GO:0042802	96	30	0	0.0	FN
FBgn0015765	GO:0005524	212	643	34	0.03976608187134503	FP
FBgn0033238	GO:0005524	5	643	0	0.0	FN
FBgn0036763	GO:0006436	2	2	0	0.0	FP
FBgn0266721	GO:0006436	30	2	0	0.0	FN
FBgn0003068	GO:0007623	43	45	8	0.09090909090909091	FP
FBgn0013726	GO:0007623	94	45	0	0.0	FN
FBgn0023083	GO:0035220	31	70	1	0.009900990099009901	FP
FBgn0287720	GO:0035220	0	70	0	0.0	FN
