protein	goTerm	proteinNeighbor	goProteinEdge	goEdge	fScore
FBgn0015805	GO:0045879	406	7	57	0.03023758099352052
FBgn0003044	GO:0009948	54	3	16	0.08571428571428572
FBgn0002787	GO:0005838	115	20	20	0.29629629629629634
FBgn0283535	GO:0007430	36	1	37	0.0273972602739726
FBgn0028471	GO:0046872	1457	18	138	0.0225705329153605
FBgn0015320	GO:0004842	80	27	100	0.30000000000000004
FBgn0039731	GO:0005515	24	5	957	0.01019367991845056
FBgn0040368	GO:0016281	99	4	11	0.07272727272727274
FBgn0017566	GO:0016020	98	6	1523	0.007402837754472547
FBgn0261797	GO:0030071	129	1	8	0.0145985401459854
FBgn0011692	GO:1990023	130	3	9	0.04316546762589929
FBgn0011742	GO:0005884	364	2	20	0.01041666666666667
FBgn0039846	GO:0003723	13	1	485	0.004016064257028112
FBgn0036318	GO:0003713	38	1	81	0.01680672268907563
FBgn0010316	GO:0005739	52	2	622	0.005934718100890207
FBgn0035426	GO:0005737	9	2	1862	0.0021378941742383755
FBgn0264607	GO:0007611	100	2	15	0.034782608695652174
FBgn0037999	GO:0016627	7	1	22	0.06896551724137931
FBgn0021761	GO:0005643	69	10	36	0.1904761904761905
FBgn0037363	GO:0006914	34	8	55	0.17977528089887643
FBgn0036813	GO:0009267	29	4	64	0.08602150537634408
FBgn0037855	GO:0003674	20	2	3149	0.0012622278321236984
FBgn0002973	GO:0014019	64	1	19	0.024096385542168676
FBgn0003068	GO:0032922	44	4	8	0.15384615384615385
FBgn0032901	GO:0099003	7	1	1	0.25
FBgn0003386	GO:0005249	7	1	15	0.09090909090909091
FBgn0041781	GO:0030031	62	5	17	0.12658227848101267
FBgn0002633	GO:0000122	72	4	221	0.027303754266211608
FBgn0260945	GO:0010506	162	7	38	0.07
FBgn0035617	GO:0005634	10	3	2249	0.0026560424966799467
FBgn0036196	GO:0019005	125	3	63	0.031914893617021274
FBgn0024846	GO:0004707	250	3	6	0.0234375
FBgn0036396	GO:0006355	7	1	501	0.003937007874015748
FBgn0011758	GO:0000977	32	1	162	0.010309278350515464
FBgn0004839	GO:0007411	16	6	166	0.06593406593406592
FBgn0015946	GO:0006915	35	7	51	0.16279069767441862
FBgn0035233	GO:0016558	19	2	5	0.16666666666666666
FBgn0035397	GO:0008143	200	3	8	0.028846153846153844
FBgn0033783	GO:0043161	19	3	105	0.04838709677419354
FBgn0015221	GO:0006879	223	1	12	0.00851063829787234
FBgn0000146	GO:0034584	34	1	4	0.05263157894736842
FBgn0031418	GO:0047837	29	2	2	0.12903225806451613
FBgn0020299	GO:0008543	43	2	24	0.059701492537313425
FBgn0032244	GO:0003677	105	20	609	0.05602240896358543
FBgn0023023	GO:0005737	64	23	1862	0.023883696780893044
FBgn0014870	GO:0003676	234	22	368	0.07308970099667775
FBgn0039371	GO:0003674	96	1	3149	0.0006163328197226503
FBgn0004896	GO:0006355	94	1	501	0.0033613445378151263
FBgn0020497	GO:0005515	204	44	957	0.07579672695951767
FBgn0033897	GO:0044545	23	6	6	0.41379310344827586
FBgn0035976	GO:0061057	98	7	17	0.1217391304347826
FBgn0016641	GO:0000278	13	1	150	0.01226993865030675
FBgn0263738	GO:0035065	22	1	1	0.08695652173913045
FBgn0024956	GO:0005675	57	9	9	0.2727272727272727
FBgn0031462	GO:0005737	4	1	1862	0.0010718113612004287
FBgn0029878	GO:0006886	77	2	141	0.01834862385321101
FBgn0026404	GO:0050700	25	1	2	0.07407407407407407
FBgn0011592	GO:0007411	83	6	166	0.04819277108433735
FBgn0261963	GO:0045944	11	6	323	0.03592814371257485
FBgn0015381	GO:0043565	27	3	206	0.02575107296137339
FBgn0004893	GO:0005634	23	15	2249	0.013204225352112676
FBgn0266282	GO:0003697	24	1	49	0.027397260273972598
FBgn0017418	GO:0006511	29	6	135	0.07317073170731708
FBgn0040077	GO:0006470	22	1	86	0.018518518518518517
FBgn0030011	GO:0007165	88	5	198	0.03496503496503496
FBgn0011648	GO:0045944	203	27	323	0.10266159695817491
FBgn0028940	GO:0016705	157	52	115	0.38235294117647056
FBgn0026319	GO:0007165	90	5	198	0.034722222222222224
FBgn0033819	GO:0003674	22	1	3149	0.000630715862503942
FBgn0034726	GO:0046982	18	3	216	0.02564102564102564
FBgn0263995	GO:0003729	253	7	204	0.03063457330415755
FBgn0038463	GO:0005829	19	4	1081	0.007272727272727273
FBgn0010473	GO:0008039	5	1	33	0.052631578947368425
FBgn0038466	GO:0042048	50	1	46	0.020833333333333332
FBgn0041103	GO:0006352	2	1	21	0.08695652173913042
FBgn0000411	GO:0140297	25	1	55	0.024999999999999998
FBgn0039359	GO:0003735	159	50	289	0.22321428571428573
FBgn0002906	GO:0043138	73	1	12	0.023529411764705882
FBgn0004170	GO:0007346	76	1	33	0.01834862385321101
FBgn0037443	GO:0003674	20	1	3149	0.0006311139160618492
FBgn0010803	GO:0004812	59	1	35	0.02127659574468085
FBgn0032240	GO:0033962	159	5	8	0.059880239520958084
FBgn0016038	GO:0043162	31	1	11	0.047619047619047616
FBgn0262519	GO:0005524	369	39	642	0.0771513353115727
FBgn0046687	GO:0007186	16	1	155	0.011695906432748537
FBgn0000490	GO:0042803	47	1	119	0.012048192771084336
FBgn0039733	GO:0005634	31	8	2249	0.007017543859649124
FBgn0015380	GO:0046982	58	3	216	0.021897810218978103
FBgn0005198	GO:0071456	219	1	30	0.008032128514056224
FBgn0003415	GO:0005654	80	3	197	0.021660649819494587
FBgn0030941	GO:0005515	37	7	957	0.014084507042253521
FBgn0038934	GO:0006378	37	1	15	0.038461538461538464
FBgn0010380	GO:0005886	116	25	1051	0.042844901456726654
FBgn0003090	GO:0042067	32	7	23	0.2545454545454546
FBgn0032053	GO:0005762	47	1	49	0.020833333333333332
FBgn0033557	GO:0032040	112	33	43	0.4258064516129032
FBgn0027616	GO:0005634	53	17	2249	0.014769765421372719
FBgn0063649	GO:0016020	57	30	1523	0.0379746835443038
FBgn0014877	GO:0005739	33	4	622	0.012213740458015267
FBgn0003079	GO:0008293	250	7	21	0.051660516605166046
FBgn0039175	GO:0006432	32	1	2	0.058823529411764705
FBgn0011227	GO:0006122	86	7	14	0.14
FBgn0037007	GO:0005634	236	70	2249	0.05633802816901408
FBgn0000221	GO:0007293	26	1	28	0.03703703703703704
FBgn0003507	GO:0008354	18	2	35	0.07547169811320754
FBgn0004907	GO:0140313	751	2	5	0.005291005291005292
FBgn0035725	GO:0000776	23	9	44	0.2686567164179105
FBgn0015278	GO:0005737	107	31	1862	0.031488065007618075
FBgn0263258	GO:0048104	5	1	3	0.25
FBgn0004867	GO:0003723	131	24	485	0.07792207792207793
FBgn0020270	GO:0000723	51	4	22	0.10958904109589042
FBgn0037504	GO:0005730	19	3	300	0.018808777429467086
FBgn0031909	GO:0000724	30	1	45	0.026666666666666672
FBgn0025608	GO:0030433	58	4	31	0.0898876404494382
FBgn0036790	GO:0007218	52	1	58	0.018181818181818184
FBgn0086895	GO:0006325	53	1	119	0.011627906976744184
FBgn0032006	GO:0005886	94	27	1051	0.04716157205240174
FBgn0027518	GO:0032008	82	4	16	0.0816326530612245
FBgn0037436	GO:0004879	8	1	22	0.06666666666666667
FBgn0000490	GO:0007476	47	17	136	0.18579234972677597
FBgn0033998	GO:0006357	59	9	614	0.02674591381872214
FBgn0015805	GO:0045892	406	41	136	0.15129151291512916
FBgn0004456	GO:0008305	48	2	6	0.07407407407407407
FBgn0030207	GO:0005829	53	13	1081	0.022927689594356263
FBgn0002932	GO:0007422	177	3	53	0.026086956521739132
FBgn0023212	GO:0031462	198	4	11	0.03827751196172249
FBgn0025638	GO:0097602	98	8	17	0.1391304347826087
FBgn0004427	GO:0005615	28	7	684	0.019662921348314606
FBgn0004901	GO:0004044	29	1	1	0.06666666666666667
FBgn0035437	GO:0046329	34	1	27	0.032786885245901634
FBgn0025641	GO:0048675	79	3	25	0.057692307692307696
FBgn0001186	GO:0006096	97	5	24	0.08264462809917354
FBgn0039229	GO:0003723	423	33	485	0.07268722466960353
FBgn0000308	GO:0000902	113	3	50	0.03680981595092024
FBgn0001123	GO:0003924	46	2	147	0.020725388601036267
FBgn0032596	GO:0043161	173	50	105	0.35971223021582727
FBgn0002774	GO:0016887	121	5	236	0.028011204481792718
FBgn0004583	GO:0008285	22	5	41	0.15873015873015872
FBgn0037679	GO:0034727	11	1	5	0.12500000000000003
FBgn0001180	GO:0000122	13	2	221	0.017094017094017096
FBgn0005533	GO:0003735	184	55	289	0.2325581395348837
FBgn0003654	GO:0007018	92	6	69	0.07453416149068322
FBgn0014366	GO:0003723	124	30	485	0.09852216748768473
FBgn0038130	GO:0005789	120	9	170	0.06206896551724138
FBgn0035423	GO:0043614	192	2	3	0.020512820512820513
FBgn0033668	GO:0005737	3	2	1862	0.0021447721179624667
FBgn0051482	GO:0008150	22	3	1770	0.0033482142857142855
FBgn0039117	GO:0006401	33	1	6	0.05128205128205128
FBgn0001316	GO:0060361	20	1	16	0.05555555555555556
FBgn0034834	GO:0003723	8	4	485	0.016227180527383367
FBgn0034842	GO:0019774	88	11	12	0.22000000000000003
FBgn0039120	GO:0046822	65	3	5	0.08571428571428573
FBgn0260475	GO:0008484	10	1	8	0.11111111111111112
FBgn0000490	GO:0030718	47	7	41	0.1590909090909091
FBgn0004635	GO:0001742	129	2	4	0.03007518796992481
FBgn0003944	GO:0005667	152	8	87	0.06694560669456066
FBgn0002673	GO:0008315	123	1	2	0.016
FBgn0005636	GO:0005634	49	28	2249	0.024369016536118362
FBgn0004635	GO:0038004	129	2	5	0.029850746268656712
FBgn0016930	GO:0004712	81	1	6	0.022988505747126436
FBgn0015372	GO:0003924	19	2	147	0.024096385542168672
FBgn0263199	GO:0005737	38	21	1862	0.022105263157894735
FBgn0023181	GO:0003677	54	8	609	0.024132730015082954
FBgn0266671	GO:0072697	57	1	5	0.03225806451612903
FBgn0001085	GO:0060250	61	6	22	0.14457831325301204
FBgn0000146	GO:0005737	34	13	1862	0.01371308016877637
FBgn0035424	GO:0005829	165	20	1081	0.03210272873194221
FBgn0000464	GO:0004725	44	2	32	0.052631578947368425
FBgn0003607	GO:0005700	126	11	173	0.07357859531772575
FBgn0050000	GO:0005737	12	6	1862	0.0064034151547491995
FBgn0004644	GO:0007224	29	6	9	0.31578947368421056
FBgn0285910	GO:0000220	34	3	16	0.12
FBgn0037084	GO:0005484	35	8	24	0.2711864406779661
FBgn0038934	GO:0005515	37	7	957	0.014084507042253521
FBgn0033352	GO:0000289	233	1	10	0.00823045267489712
FBgn0030141	GO:0005802	41	1	42	0.024096385542168676
FBgn0015381	GO:0048856	27	1	25	0.03846153846153846
FBgn0039576	GO:0008340	14	1	173	0.010695187165775402
FBgn0028410	GO:0005524	13	2	642	0.0061068702290076335
FBgn0259918	GO:0016027	3	2	9	0.3333333333333333
FBgn0000527	GO:0048082	17	1	11	0.07142857142857142
FBgn0013954	GO:0003755	361	6	32	0.030534351145038167
FBgn0000808	GO:0160032	6	3	20	0.23076923076923075
FBgn0014127	GO:0007076	28	8	22	0.32
FBgn0000206	GO:0005886	8	3	1051	0.005665722379603399
FBgn0029006	GO:0040008	308	1	20	0.006097560975609756
FBgn0020621	GO:0045179	62	1	49	0.01801801801801802
FBgn0015828	GO:0042789	150	3	4	0.03896103896103896
FBgn0036030	GO:0006015	55	1	1	0.03571428571428572
FBgn0011826	GO:0004722	205	4	45	0.032
FBgn0037981	GO:0000124	32	20	24	0.7142857142857143
FBgn0027616	GO:0000381	53	9	86	0.12949640287769784
FBgn0026192	GO:0007416	56	2	21	0.051948051948051945
FBgn0083941	GO:0005730	13	1	300	0.0063897763578274775
FBgn0035120	GO:0032991	11	1	76	0.022988505747126436
FBgn0003731	GO:0007173	638	15	24	0.04531722054380665
FBgn0000299	GO:0005604	238	4	18	0.03125
FBgn0261260	GO:0005886	26	8	1051	0.014856081708449397
FBgn0038870	GO:0045475	44	4	61	0.07619047619047621
FBgn0003742	GO:0006397	52	1	30	0.024390243902439025
FBgn0053519	GO:0005524	33	2	642	0.005925925925925926
FBgn0036194	GO:0017183	38	2	5	0.09302325581395349
FBgn0262432	GO:0016442	5	2	98	0.03883495145631067
FBgn0086895	GO:0071013	53	20	124	0.22598870056497178
FBgn0261885	GO:0045893	79	12	144	0.10762331838565022
FBgn0004511	GO:0007476	2	1	136	0.014492753623188406
FBgn0031952	GO:0072686	161	2	24	0.02162162162162162
FBgn0003114	GO:0007343	41	3	14	0.1090909090909091
FBgn0039875	GO:0008270	88	1	515	0.0033167495854063015
FBgn0011760	GO:0097718	233	1	2	0.00851063829787234
FBgn0002733	GO:0002052	16	2	27	0.09302325581395349
FBgn0039710	GO:0000123	10	1	16	0.07692307692307693
FBgn0016070	GO:0003729	42	6	204	0.04878048780487805
FBgn0000439	GO:0045944	53	10	323	0.05319148936170213
FBgn0263930	GO:0045570	219	3	10	0.026200873362445413
FBgn0002441	GO:0042393	11	2	59	0.05714285714285715
FBgn0033998	GO:0000791	59	2	58	0.034188034188034185
FBgn0005624	GO:0006338	26	1	80	0.01886792452830189
FBgn0000153	GO:0019752	9	1	15	0.08333333333333334
FBgn0022224	GO:0031386	10	1	13	0.08695652173913043
FBgn0003716	GO:0030509	198	7	10	0.0673076923076923
FBgn0003124	GO:0005813	284	23	119	0.11414392059553351
FBgn0040283	GO:0007062	85	5	13	0.1020408163265306
FBgn0001276	GO:0006357	71	33	614	0.09635036496350366
FBgn0004839	GO:0007411	16	6	166	0.06593406593406592
FBgn0037678	GO:0004252	29	13	279	0.08441558441558443
FBgn0002521	GO:0006338	33	8	80	0.14159292035398233
FBgn0002543	GO:0007432	10	3	10	0.3
FBgn0026160	GO:0045815	23	1	12	0.057142857142857134
FBgn0031106	GO:0016020	106	18	1523	0.022099447513812154
FBgn0053542	GO:0007259	8	3	5	0.4615384615384615
FBgn0003607	GO:0035064	126	6	28	0.07792207792207793
FBgn0032210	GO:0043068	32	1	21	0.03773584905660377
FBgn0027508	GO:0005634	38	8	2249	0.006996064713598601
FBgn0004782	GO:0040003	21	2	165	0.021505376344086023
FBgn0031883	GO:0071011	523	30	141	0.09036144578313252
FBgn0028991	GO:0048813	69	1	127	0.01020408163265306
FBgn0053517	GO:0016020	22	6	1523	0.0077669902912621365
FBgn0039854	GO:0006637	48	2	6	0.07407407407407407
FBgn0014343	GO:0030182	3	1	38	0.048780487804878044
FBgn0004647	GO:0007411	428	18	166	0.0606060606060606
FBgn0261797	GO:0016887	129	8	236	0.043835616438356165
FBgn0028986	GO:0004867	44	4	80	0.06451612903225806
FBgn0039576	GO:0005750	14	2	12	0.15384615384615383
FBgn0004870	GO:0003700	25	5	286	0.03215434083601287
FBgn0014019	GO:0007602	8	1	47	0.03636363636363636
FBgn0000183	GO:0070840	89	2	5	0.0425531914893617
FBgn0003862	GO:0008023	92	4	16	0.07407407407407408
FBgn0029088	GO:0007280	49	1	21	0.02857142857142857
FBgn0028837	GO:0008233	164	1	177	0.0058651026392961885
FBgn0038389	GO:0008270	83	2	515	0.006688963210702341
FBgn0035704	GO:0006897	14	3	68	0.07317073170731708
FBgn0000228	GO:0000242	67	1	12	0.02531645569620253
FBgn0023169	GO:0006468	194	22	237	0.10208816705336426
FBgn0033998	GO:0005515	59	13	957	0.02559055118110236
FBgn0031830	GO:0005739	26	1	622	0.00308641975308642
FBgn0036018	GO:0000398	74	2	228	0.013245033112582781
FBgn0035781	GO:0006508	38	1	497	0.0037383177570093464
FBgn0031550	GO:0003674	10	1	3149	0.0006331117442228554
FBgn0002973	GO:0009786	64	1	2	0.030303030303030304
FBgn0262395	GO:0003730	2	1	121	0.016260162601626018
FBgn0263705	GO:0005515	74	12	957	0.023278370514064017
FBgn0083963	GO:0045202	9	1	100	0.01834862385321101
FBgn0016685	GO:0042393	241	3	59	0.02
FBgn0014863	GO:0030018	30	1	43	0.0273972602739726
FBgn0024222	GO:0030163	188	2	19	0.019323671497584544
FBgn0004864	GO:0060031	118	1	1	0.01680672268907563
FBgn0031461	GO:0045464	12	2	19	0.12903225806451615
FBgn0261283	GO:0005789	75	1	170	0.008163265306122448
FBgn0011273	GO:0030048	137	2	7	0.027777777777777776
FBgn0261988	GO:0005886	164	24	1051	0.03950617283950617
FBgn0014010	GO:0032482	384	8	33	0.03836930455635491
FBgn0021765	GO:0005739	118	11	622	0.029729729729729728
FBgn0033020	GO:0005751	11	3	19	0.19999999999999998
FBgn0034970	GO:0008284	124	6	48	0.06976744186046512
FBgn0283476	GO:0005524	9	1	642	0.0030721966205837174
FBgn0039581	GO:0000398	91	19	228	0.11912225705329153
FBgn0003449	GO:0000398	110	42	228	0.24852071005917156
FBgn0038016	GO:0003677	49	2	609	0.006079027355623099
FBgn0005355	GO:0005829	39	10	1081	0.01785714285714286
FBgn0004839	GO:0005886	16	7	1051	0.013120899718837863
FBgn0003514	GO:0035317	154	4	23	0.04519774011299436
FBgn0035754	GO:0005515	111	29	957	0.05430711610486892
FBgn0002466	GO:0000281	27	3	42	0.08695652173913043
FBgn0001624	GO:0005938	249	9	99	0.051724137931034475
FBgn0002121	GO:0035332	82	2	38	0.03333333333333333
FBgn0029709	GO:0006888	130	13	68	0.13131313131313133
FBgn0051229	GO:0045039	20	2	10	0.13333333333333333
FBgn0011202	GO:0003779	76	4	75	0.052980132450331126
FBgn0027505	GO:0043547	14	1	24	0.052631578947368425
FBgn0004050	GO:0005515	27	9	957	0.018292682926829267
FBgn0037573	GO:0071011	267	41	141	0.20098039215686272
FBgn0039580	GO:0006487	181	2	25	0.019417475728155338
FBgn0038303	GO:0005794	29	6	239	0.044776119402985065
FBgn0032511	GO:0005747	22	1	51	0.027397260273972605
FBgn0264326	GO:0045004	69	2	4	0.0547945205479452
FBgn0001565	GO:0003676	147	15	368	0.058252427184466014
FBgn0039227	GO:0003682	60	7	173	0.06008583690987124
FBgn0086347	GO:0007015	104	7	79	0.07650273224043716
FBgn0031696	GO:0007094	99	3	11	0.05454545454545456
FBgn0053180	GO:0005737	20	6	1862	0.006376195536663125
FBgn0063485	GO:0005829	39	4	1081	0.007142857142857143
FBgn0036448	GO:0030707	24	2	75	0.0404040404040404
FBgn0261266	GO:0034587	9	2	18	0.14814814814814814
FBgn0015799	GO:2000134	109	3	11	0.05
FBgn0264959	GO:0005886	73	23	1051	0.04092526690391459
FBgn0031851	GO:0005634	177	57	2249	0.0469909315746084
FBgn0004427	GO:0003796	28	6	16	0.2727272727272727
FBgn0002924	GO:0001578	57	1	11	0.029411764705882353
FBgn0003513	GO:0045466	29	1	10	0.05128205128205129
FBgn0267728	GO:0005886	5	3	1051	0.005681818181818182
FBgn0053554	GO:0000123	114	8	16	0.12307692307692307
FBgn0040087	GO:0006886	115	5	141	0.0390625
FBgn0001086	GO:0007147	83	1	2	0.023529411764705882
FBgn0038673	GO:0005575	26	2	2645	0.001497566454511419
FBgn0031375	GO:0006357	7	4	614	0.012882447665056362
FBgn0034968	GO:0003735	181	49	289	0.20851063829787234
FBgn0034727	GO:0003735	16	1	289	0.006557377049180329
FBgn0004567	GO:0043565	19	5	206	0.044444444444444446
FBgn0003612	GO:0046426	289	2	19	0.012987012987012988
FBgn0036334	GO:0044183	93	1	23	0.017241379310344827
FBgn0000014	GO:0007507	51	9	41	0.1956521739130435
FBgn0037050	GO:0098975	38	1	6	0.045454545454545456
FBgn0031597	GO:0000978	8	2	367	0.010666666666666665
FBgn0021944	GO:0005739	64	4	622	0.011661807580174927
FBgn0003256	GO:0005634	382	111	2249	0.08437856328392246
FBgn0010333	GO:0007520	201	10	31	0.08620689655172414
FBgn0011259	GO:0030215	150	3	8	0.03797468354430379
FBgn0261397	GO:0005524	161	16	642	0.0398505603985056
FBgn0040273	GO:0032044	207	1	1	0.009615384615384614
FBgn0040068	GO:0007411	140	11	166	0.07189542483660132
FBgn0014011	GO:0090303	137	3	13	0.04
FBgn0038860	GO:0008023	11	2	16	0.14814814814814814
FBgn0014391	GO:0015986	58	12	19	0.3116883116883117
FBgn0284247	GO:0090251	27	3	6	0.1818181818181818
FBgn0037781	GO:0006281	27	3	85	0.053571428571428575
FBgn0262126	GO:0030127	42	1	5	0.0425531914893617
FBgn0015618	GO:0016301	112	1	54	0.012048192771084338
FBgn0003996	GO:0015842	32	2	4	0.1111111111111111
FBgn0263863	GO:0005762	23	1	49	0.02777777777777778
FBgn0004855	GO:0003676	52	4	368	0.01904761904761905
FBgn0259876	GO:0000796	19	4	6	0.32
FBgn0042138	GO:0005737	14	3	1862	0.0031982942430703624
FBgn0086384	GO:0009966	200	1	16	0.009259259259259259
FBgn0036337	GO:0005829	27	4	1081	0.007220216606498195
FBgn0010109	GO:0003677	114	7	609	0.01936376210235131
FBgn0262518	GO:0008021	69	3	58	0.047244094488188976
FBgn0028554	GO:0003676	50	13	368	0.06220095693779904
FBgn0010051	GO:0006816	33	3	32	0.0923076923076923
FBgn0011211	GO:0019915	127	1	13	0.014285714285714285
FBgn0004859	GO:0000977	187	9	162	0.05157593123209169
FBgn0264495	GO:0031507	23	1	75	0.02040816326530612
FBgn0034793	GO:0005768	24	1	79	0.019417475728155338
FBgn0032987	GO:0022626	98	32	174	0.23529411764705885
FBgn0001114	GO:0005615	83	5	684	0.013037809647979138
FBgn0033916	GO:0016579	49	1	37	0.023255813953488372
FBgn0026433	GO:0000931	17	3	6	0.2608695652173913
FBgn0032934	GO:0005737	7	2	1862	0.002140181915462814
FBgn0266724	GO:0006888	20	6	68	0.13636363636363635
FBgn0033378	GO:0003723	34	5	485	0.01926782273603083
FBgn0039016	GO:0033227	37	1	25	0.03225806451612903
FBgn0004363	GO:0007602	448	3	47	0.01212121212121212
FBgn0259195	GO:0008270	32	2	515	0.007312614259597806
FBgn0005355	GO:0140297	39	2	55	0.0425531914893617
FBgn0052669	GO:0015293	20	1	16	0.05555555555555556
FBgn0033578	GO:0034464	15	1	5	0.1
FBgn0000659	GO:0006355	29	7	501	0.02641509433962264
FBgn0004435	GO:0016056	37	2	8	0.08888888888888889
FBgn0003731	GO:0007309	638	3	9	0.00927357032457496
FBgn0014020	GO:1901739	144	1	8	0.013157894736842105
FBgn0028690	GO:0005838	120	20	20	0.2857142857142857
FBgn0025641	GO:0030018	79	2	43	0.03278688524590164
FBgn0031645	GO:0055085	42	5	387	0.02331002331002331
FBgn0003964	GO:0016319	63	4	89	0.05263157894736842
FBgn0040475	GO:0005886	52	9	1051	0.016319129646418858
FBgn0003448	GO:0000981	66	4	414	0.016666666666666666
FBgn0013764	GO:0010468	139	5	95	0.042735042735042736
FBgn0004606	GO:0006357	37	7	614	0.02150537634408602
FBgn0003460	GO:0005634	30	14	2249	0.012286090390522158
FBgn0039213	GO:0005737	79	29	1862	0.029881504379185988
FBgn0033339	GO:0030127	62	4	5	0.11940298507462686
FBgn0261988	GO:0045879	164	5	57	0.04524886877828054
FBgn0041191	GO:0010507	166	1	20	0.010752688172043012
FBgn0267790	GO:0007277	146	1	6	0.013157894736842105
FBgn0014189	GO:0005681	303	2	51	0.01129943502824859
FBgn0023167	GO:0045495	371	1	15	0.005181347150259067
FBgn0003716	GO:0070724	198	3	3	0.02985074626865672
FBgn0029131	GO:0042803	16	1	119	0.014814814814814815
FBgn0003687	GO:0000976	209	10	102	0.0643086816720257
FBgn0033252	GO:0005634	69	36	2249	0.031061259706643658
FBgn0013301	GO:0007283	5	1	197	0.009900990099009901
FBgn0283521	GO:0005654	38	4	197	0.034042553191489355
FBgn0003062	GO:0003723	241	69	485	0.19008264462809915
FBgn0263705	GO:0005515	74	12	957	0.023278370514064017
FBgn0028695	GO:0005838	543	20	20	0.07104795737122559
FBgn0002431	GO:0043130	134	2	36	0.023529411764705882
FBgn0016650	GO:0007186	27	5	155	0.054945054945054944
FBgn0283682	GO:0000932	16	1	38	0.037037037037037035
FBgn0037280	GO:0034464	35	2	5	0.09999999999999999
FBgn0266136	GO:0007168	12	1	11	0.08695652173913043
FBgn0020503	GO:0005876	49	3	17	0.09090909090909091
FBgn0030960	GO:1990316	70	3	3	0.0821917808219178
FBgn0015589	GO:0005737	116	46	1862	0.046511627906976744
FBgn0032382	GO:0032450	30	9	9	0.4615384615384615
FBgn0003963	GO:0035167	18	1	31	0.04081632653061224
FBgn0004380	GO:0005737	45	15	1862	0.015731515469323547
FBgn0024250	GO:0005634	91	19	2249	0.01623931623931624
FBgn0263231	GO:0005524	284	28	642	0.06047516198704104
FBgn0024980	GO:0006906	17	6	18	0.34285714285714286
FBgn0030733	GO:0005750	23	7	12	0.4
FBgn0250874	GO:0005744	105	11	14	0.18487394957983194
FBgn0037917	GO:0030175	14	1	10	0.08333333333333333
FBgn0025725	GO:0016192	95	6	140	0.05106382978723405
FBgn0260798	GO:0004674	36	3	157	0.031088082901554404
FBgn0003742	GO:0071011	52	7	141	0.07253886010362695
FBgn0003651	GO:0030154	49	2	64	0.035398230088495575
FBgn0032251	GO:0005634	20	5	2249	0.004407227853680034
FBgn0011661	GO:0000791	231	2	58	0.01384083044982699
FBgn0003751	GO:0007362	3	1	16	0.10526315789473684
FBgn0026389	GO:0050911	2	1	72	0.02702702702702703
FBgn0013763	GO:0007444	14	1	30	0.045454545454545456
FBgn0010470	GO:0046716	101	2	31	0.030303030303030304
FBgn0029067	GO:0006470	39	1	86	0.016
FBgn0023000	GO:0008340	2	1	173	0.011428571428571427
FBgn0260012	GO:0007062	29	4	13	0.1904761904761905
FBgn0025802	GO:0035097	15	2	13	0.14285714285714288
FBgn0013674	GO:0045277	19	1	3	0.09090909090909091
FBgn0004363	GO:0005739	448	49	622	0.09158878504672899
FBgn0026064	GO:0004672	26	6	230	0.04687499999999999
FBgn0250789	GO:0045169	262	6	37	0.04013377926421404
FBgn0036192	GO:0036466	48	2	3	0.0784313725490196
FBgn0003721	GO:0045451	211	3	42	0.023715415019762844
FBgn0039019	GO:0005634	19	10	2249	0.008818342151675485
FBgn0046114	GO:0006750	10	1	4	0.14285714285714288
FBgn0004867	GO:0006412	131	21	557	0.061046511627906974
FBgn0029891	GO:0005737	53	24	1862	0.025065274151436032
FBgn0001291	GO:0005515	250	72	957	0.11930405965202982
FBgn0000464	GO:0007411	44	13	166	0.12380952380952381
FBgn0263395	GO:0042059	27	1	34	0.032786885245901634
FBgn0022986	GO:0000381	181	16	86	0.11985018726591759
FBgn0020496	GO:0005700	186	17	173	0.0947075208913649
FBgn0003334	GO:0045892	56	12	136	0.125
FBgn0037293	GO:0005968	8	2	3	0.36363636363636365
FBgn0039850	GO:0005737	14	4	1862	0.0042643923240938165
FBgn0005677	GO:0048749	22	4	114	0.058823529411764705
FBgn0003205	GO:0045500	271	10	16	0.0696864111498258
FBgn0051363	GO:0005634	326	82	2249	0.06368932038834951
FBgn0035790	GO:0016705	59	34	115	0.39080459770114945
FBgn0000490	GO:0016015	47	2	4	0.0784313725490196
FBgn0003317	GO:0070411	81	3	4	0.07058823529411765
FBgn0261530	GO:0000724	45	3	45	0.06666666666666667
FBgn0264695	GO:0060361	187	1	16	0.009852216748768473
FBgn0034763	GO:0003712	25	1	65	0.022222222222222223
FBgn0026207	GO:0000055	61	1	5	0.030303030303030307
FBgn0028500	GO:0032991	12	1	76	0.022727272727272728
FBgn0000546	GO:0035073	72	2	13	0.047058823529411764
FBgn0261268	GO:0016567	40	5	128	0.05952380952380952
FBgn0053110	GO:0009922	203	19	19	0.17117117117117117
FBgn0015903	GO:0005634	26	17	2249	0.014945054945054945
FBgn0040087	GO:0006886	115	5	141	0.0390625
FBgn0260991	GO:1990385	63	3	6	0.08695652173913042
FBgn0038234	GO:0003735	25	1	289	0.006369426751592358
FBgn0037762	GO:0009922	202	19	19	0.17194570135746606
FBgn0036058	GO:0031902	43	1	26	0.028985507246376812
FBgn0066304	GO:0006364	12	1	59	0.028169014084507043
FBgn0003392	GO:0150008	106	1	5	0.018018018018018018
