protein	goTerm	proProNeighbor	goNeighbor	goAnnotatedProProNeighbors	score
FBgn0010197	GO:0016849	2	22	0	0.041666666666666664
FBgn0036853	GO:0016849	59	22	0	0.012345679012345678
FBgn0011954	GO:0030533	0	290	0	0.0034482758620689655
FBgn0285951	GO:0030533	1	290	0	0.003436426116838488
FBgn0264000	GO:0015276	29	75	2	0.028846153846153848
FBgn0037265	GO:0015276	33	75	0	0.009259259259259259
FBgn0003187	GO:0005546	32	20	0	0.019230769230769232
FBgn0040075	GO:0005546	208	20	0	0.0043859649122807015
FBgn0038136	GO:0006508	1	498	0	0.002004008016032064
FBgn0036959	GO:0006508	9	498	1	0.0039447731755424065
FBgn0029863	GO:1902936	0	23	0	0.043478260869565216
FBgn0034691	GO:1902936	55	23	0	0.01282051282051282
FBgn0026089	GO:0005761	3	8	0	0.09090909090909091
FBgn0003512	GO:0005761	11	8	0	0.05263157894736842
FBgn0001085	GO:0001736	60	21	8	0.1111111111111111
FBgn0052304	GO:0001736	0	21	0	0.047619047619047616
FBgn0263859	GO:0007613	0	28	0	0.03571428571428571
FBgn0051044	GO:0007613	0	28	0	0.03571428571428571
FBgn0024222	GO:0004674	187	158	1	0.005797101449275362
FBgn0262455	GO:0004674	1	158	0	0.006289308176100629
FBgn0030691	GO:0048814	21	20	0	0.024390243902439025
FBgn0284442	GO:0048814	10	20	0	0.03333333333333333
FBgn0032398	GO:0012505	13	202	2	0.013953488372093023
FBgn0052685	GO:0012505	44	202	0	0.0040650406504065045
FBgn0052568	GO:0000159	0	12	0	0.08333333333333333
FBgn0260855	GO:0000159	59	12	0	0.014084507042253521
FBgn0004177	GO:0004722	537	46	4	0.008576329331046312
FBgn0050463	GO:0004722	6	46	0	0.019230769230769232
FBgn0023094	GO:0005634	28	2250	18	0.008340649692712906
FBgn0029818	GO:0005634	22	2250	3	0.0017605633802816902
FBgn0261850	GO:0005634	70	2250	31	0.013793103448275862
FBgn0001200	GO:0005634	0	2250	0	0.00044444444444444447
FBgn0036819	GO:0050807	112	13	2	0.024
FBgn0004387	GO:0050807	11	13	0	0.041666666666666664
FBgn0031061	GO:0000062	27	11	0	0.02631578947368421
FBgn0003502	GO:0000062	103	11	0	0.008771929824561403
FBgn0261933	GO:0000387	110	15	10	0.088
FBgn0038321	GO:0000387	60	15	0	0.013333333333333334
FBgn0038279	GO:0005615	6	685	6	0.010130246020260492
FBgn0002856	GO:0005615	1	685	0	0.0014577259475218659
FBgn0038191	GO:0007283	10	198	0	0.004807692307692308
FBgn0036465	GO:0007283	62	198	0	0.0038461538461538464
FBgn0051226	GO:0008150	2	1771	0	0.0005640157924421884
FBgn0001308	GO:0008150	96	1771	3	0.0021424745581146223
FBgn0260859	GO:0033106	73	3	0	0.013157894736842105
FBgn0030514	GO:0033106	28	3	0	0.03225806451612903
FBgn0051213	GO:0005319	3	16	0	0.05263157894736842
FBgn0003330	GO:0005319	474	16	0	0.0020408163265306124
FBgn0039828	GO:0003723	127	486	26	0.04404567699836868
FBgn0036300	GO:0003723	55	486	4	0.009242144177449169
FBgn0086370	GO:0007143	29	43	1	0.027777777777777776
FBgn0260011	GO:0007143	3	43	0	0.021739130434782608
FBgn0000337	GO:0005741	5	38	0	0.023255813953488372
FBgn0261675	GO:0005741	15	38	0	0.018867924528301886
FBgn0033890	GO:0042023	20	18	1	0.05263157894736842
FBgn0028325	GO:0042023	51	18	0	0.014492753623188406
FBgn0039019	GO:0035064	18	29	1	0.0425531914893617
FBgn0034094	GO:0035064	2	29	0	0.03225806451612903
FBgn0040020	GO:0016592	67	33	14	0.15
FBgn0085404	GO:0016592	9	33	0	0.023809523809523808
FBgn0032487	GO:0000176	82	10	9	0.10869565217391304
FBgn0020497	GO:0000176	203	10	0	0.004694835680751174
FBgn0011648	GO:0042078	202	16	4	0.022935779816513763
FBgn0039740	GO:0042078	30	16	0	0.021739130434782608
FBgn0000015	GO:0006357	72	615	35	0.05240174672489083
FBgn0085396	GO:0006357	7	615	1	0.003215434083601286
FBgn0261396	GO:0005838	135	21	20	0.1346153846153846
FBgn0032843	GO:0005838	1	21	0	0.045454545454545456
FBgn0041111	GO:0032783	36	8	4	0.11363636363636363
FBgn0036773	GO:0032783	13	8	0	0.047619047619047616
FBgn0031000	GO:0008061	0	123	0	0.008130081300813009
FBgn0026597	GO:0008061	65	123	0	0.005319148936170213
FBgn0004435	GO:0007602	36	48	4	0.05952380952380952
FBgn0033649	GO:0007602	1	48	0	0.02040816326530612
FBgn0032929	GO:0045678	47	3	0	0.02
FBgn0010240	GO:0045678	14	3	0	0.058823529411764705
FBgn0032209	GO:0006355	18	502	5	0.011538461538461539
FBgn0053236	GO:0006355	0	502	0	0.00199203187250996
FBgn0040890	GO:0009306	7	47	1	0.037037037037037035
FBgn0261004	GO:0009306	25	47	0	0.013888888888888888
FBgn0003720	GO:0055057	38	3	0	0.024390243902439025
FBgn0043021	GO:0055057	0	3	0	0.3333333333333333
FBgn0015399	GO:0005886	8	1052	4	0.0047169811320754715
FBgn0014141	GO:0005886	217	1052	50	0.04018912529550828
FBgn0026323	GO:0007391	211	104	12	0.04126984126984127
FBgn0015838	GO:0007391	21	104	3	0.032
FBgn0053866	GO:0000786	0	124	0	0.008064516129032258
FBgn0086253	GO:0000786	31	124	0	0.0064516129032258064
FBgn0051798	GO:0005575	29	2646	0	0.00037383177570093456
FBgn0003034	GO:0005575	1	2646	0	0.00037778617302606723
FBgn0030839	GO:0005737	4	1863	2	0.0016068559185859668
FBgn0026597	GO:0005737	65	1863	30	0.016078838174273857
FBgn0003482	GO:0030717	9	34	2	0.06976744186046512
FBgn0262451	GO:0030717	10	34	0	0.022727272727272728
FBgn0259685	GO:0007163	27	22	1	0.04081632653061224
FBgn0086782	GO:0007163	0	22	0	0.045454545454545456
FBgn0033900	GO:0006423	7	2	0	0.1111111111111111
FBgn0039759	GO:0006423	0	2	0	0.5
FBgn0044323	GO:0046579	85	22	5	0.056074766355140186
FBgn0002521	GO:0046579	32	22	0	0.018518518518518517
FBgn0050488	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0011653	GO:0003674	7	3150	0	0.0003167564143173899
FBgn0029521	GO:0016020	0	1524	0	0.0006561679790026247
FBgn0004242	GO:0016020	30	1524	7	0.005148005148005148
FBgn0033408	GO:0043014	0	9	0	0.1111111111111111
FBgn0031974	GO:0043014	1	9	0	0.1
FBgn0033450	GO:0005634	5	2250	1	0.0008869179600886918
FBgn0261356	GO:0005634	0	2250	0	0.00044444444444444447
FBgn0003495	GO:0002804	15	9	6	0.2916666666666667
FBgn0033324	GO:0002804	14	9	0	0.043478260869565216
FBgn0026088	GO:0003674	38	3150	7	0.002509410288582183
FBgn0030638	GO:0003674	28	3150	0	0.00031466331025802394
FBgn0262126	GO:0048081	41	3	1	0.045454545454545456
FBgn0036937	GO:0048081	3	3	0	0.16666666666666666
FBgn0035142	GO:0004674	73	158	2	0.012987012987012988
FBgn0001291	GO:0004674	249	158	18	0.04668304668304668
FBgn0040038	GO:0016567	7	129	1	0.014705882352941176
FBgn0004838	GO:0016567	48	129	5	0.03389830508474576
FBgn0264324	GO:0007417	24	85	1	0.01834862385321101
FBgn0001942	GO:0007417	212	85	0	0.003367003367003367
FBgn0037898	GO:0005737	9	1863	4	0.002670940170940171
FBgn0029944	GO:0005737	15	1863	4	0.0026624068157614484
FBgn0040064	GO:0006635	54	30	0	0.011904761904761904
FBgn0038358	GO:0006635	8	30	0	0.02631578947368421
FBgn0017403	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0031951	GO:0003674	6	3150	0	0.0003168567807351077
FBgn0034894	GO:0046330	52	35	1	0.022988505747126436
FBgn0050383	GO:0046330	0	35	0	0.02857142857142857
FBgn0037832	GO:0016020	0	1524	0	0.0006561679790026247
FBgn0000479	GO:0016020	34	1524	2	0.0019255455712451862
FBgn0053806	GO:0006334	0	102	0	0.00980392156862745
FBgn0262377	GO:0006334	3	102	0	0.009523809523809525
FBgn0036641	GO:0005634	195	2250	67	0.027811860940695297
FBgn0036493	GO:0005634	226	2250	25	0.01050080775444265
FBgn0003731	GO:0042327	637	3	1	0.003125
FBgn0033074	GO:0042327	38	3	0	0.024390243902439025
FBgn0004607	GO:0000977	12	163	1	0.011428571428571429
FBgn0033235	GO:0000977	71	163	1	0.008547008547008548
FBgn0250832	GO:0005615	0	685	0	0.00145985401459854
FBgn0039280	GO:0005615	63	685	0	0.001336898395721925
FBgn0262612	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0267255	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0039360	GO:0008654	6	15	0	0.047619047619047616
FBgn0000578	GO:0008654	73	15	0	0.011363636363636364
FBgn0030932	GO:0006751	14	6	0	0.05
FBgn0261854	GO:0006751	118	6	0	0.008064516129032258
FBgn0263241	GO:0006777	5	6	0	0.09090909090909091
FBgn0033021	GO:0006777	105	6	0	0.009009009009009009
FBgn0029157	GO:0030837	15	8	0	0.043478260869565216
FBgn0023094	GO:0030837	28	8	0	0.027777777777777776
FBgn0010549	GO:0015711	8	1	0	0.1111111111111111
FBgn0011928	GO:0015711	0	1	0	1.0
FBgn0026577	GO:0042393	19	60	1	0.02531645569620253
FBgn0033588	GO:0042393	2	60	0	0.016129032258064516
FBgn0039016	GO:0030422	36	12	2	0.0625
FBgn0053460	GO:0030422	0	12	0	0.08333333333333333
FBgn0031281	GO:0070461	22	7	4	0.1724137931034483
FBgn0003884	GO:0070461	270	7	0	0.0036101083032490976
FBgn0004652	GO:0060179	41	11	0	0.019230769230769232
FBgn0265003	GO:0060179	56	11	0	0.014925373134328358
FBgn0025525	GO:0006355	23	502	4	0.009523809523809525
FBgn0002917	GO:0006355	4	502	1	0.003952569169960474
FBgn0086356	GO:0000281	61	43	5	0.057692307692307696
FBgn0005626	GO:0000281	39	43	0	0.012195121951219513
FBgn0027584	GO:0008150	5	1771	0	0.0005630630630630631
FBgn0265296	GO:0008150	26	1771	0	0.0005564830272676684
FBgn0283728	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0003205	GO:0003674	270	3150	6	0.0020467836257309943
FBgn0053840	GO:0031490	0	49	0	0.02040816326530612
FBgn0029708	GO:0031490	1	49	0	0.02
FBgn0266758	GO:0016079	88	23	0	0.009009009009009009
FBgn0083228	GO:0016079	40	23	0	0.015873015873015872
FBgn0283442	GO:0043186	18	47	5	0.09230769230769231
FBgn0035280	GO:0043186	2	47	0	0.02040816326530612
FBgn0040493	GO:0008233	31	178	0	0.004784688995215311
FBgn0031775	GO:0008233	2	178	0	0.005555555555555556
FBgn0261800	GO:0062023	217	31	1	0.008064516129032258
FBgn0034425	GO:0062023	17	31	1	0.041666666666666664
FBgn0262030	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0021760	GO:0003674	32	3150	1	0.0006285355122564425
FBgn0053208	GO:0071949	35	26	0	0.01639344262295082
FBgn0003980	GO:0071949	25	26	0	0.0196078431372549
FBgn0053270	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0263852	GO:0003674	46	3150	2	0.0009386733416770963
FBgn0260442	GO:0035149	30	36	0	0.015151515151515152
FBgn0039694	GO:0035149	16	36	0	0.019230769230769232
FBgn0039141	GO:0008017	32	116	1	0.013513513513513514
FBgn0004110	GO:0008017	11	116	0	0.007874015748031496
FBgn0011236	GO:0045497	9	2	0	0.09090909090909091
FBgn0002044	GO:0045497	14	2	0	0.0625
FBgn0053834	GO:0030527	0	121	0	0.008264462809917356
FBgn0040212	GO:0030527	6	121	0	0.007874015748031496
FBgn0034882	GO:0016020	38	1524	22	0.0147247119078105
FBgn0039796	GO:0016020	8	1524	3	0.0026109660574412533
FBgn0020506	GO:0004134	10	2	0	0.08333333333333333
FBgn0001196	GO:0004134	0	2	0	0.5
FBgn0041195	GO:0030317	8	27	0	0.02857142857142857
FBgn0024509	GO:0030317	111	27	0	0.007246376811594203
FBgn0261507	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0028374	GO:0005575	2	2646	1	0.0007552870090634441
FBgn0266136	GO:0016849	11	22	0	0.030303030303030304
FBgn0033853	GO:0016849	55	22	0	0.012987012987012988
FBgn0263390	GO:1902600	10	58	0	0.014705882352941176
FBgn0011283	GO:1902600	7	58	0	0.015384615384615385
FBgn0032047	GO:0031146	4	61	2	0.046153846153846156
FBgn0003447	GO:0031146	22	61	0	0.012048192771084338
FBgn0038881	GO:0016020	4	1524	1	0.0013089005235602095
FBgn0032629	GO:0016020	1	1524	0	0.0006557377049180328
FBgn0052446	GO:0055070	13	12	0	0.04
FBgn0250789	GO:0055070	261	12	0	0.003663003663003663
FBgn0002763	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0002626	GO:0003674	78	3150	1	0.0006195786864931846
FBgn0026597	GO:0090090	65	46	6	0.06306306306306306
FBgn0011817	GO:0090090	71	46	3	0.03418803418803419
FBgn0003062	GO:0000494	240	2	0	0.004132231404958678
FBgn0036212	GO:0000494	0	2	0	0.5
FBgn0031813	GO:0003997	27	6	0	0.030303030303030304
FBgn0038373	GO:0003997	38	6	0	0.022727272727272728
FBgn0032588	GO:0005575	31	2646	0	0.00037355248412401944
FBgn0013303	GO:0005575	27	2646	2	0.001122334455667789
FBgn0287768	GO:0055059	0	29	0	0.034482758620689655
FBgn0011288	GO:0055059	48	29	0	0.012987012987012988
FBgn0036334	GO:0140662	92	33	5	0.048
FBgn0039013	GO:0140662	48	33	0	0.012345679012345678
FBgn0040066	GO:0140672	199	13	12	0.06132075471698113
FBgn0262656	GO:0140672	479	13	4	0.01016260162601626
FBgn0045477	GO:0033041	0	34	0	0.029411764705882353
FBgn0067903	GO:0033041	0	34	0	0.029411764705882353
FBgn0013384	GO:0007636	0	8	0	0.125
FBgn0013685	GO:0007636	0	8	0	0.125
FBgn0000273	GO:0040040	409	18	5	0.01405152224824356
FBgn0003719	GO:0040040	7	18	0	0.04
FBgn0261536	GO:0008150	0	1771	0	0.000564652738565782
FBgn0004635	GO:0008150	128	1771	2	0.001579778830963665
FBgn0003612	GO:0005652	288	15	4	0.0165016501650165
FBgn0005617	GO:0005652	18	15	0	0.030303030303030304
FBgn0015591	GO:0005184	1	27	0	0.03571428571428571
FBgn0020506	GO:0005184	10	27	0	0.02702702702702703
FBgn0000615	GO:0045450	99	22	0	0.008264462809917356
FBgn0039354	GO:0045450	1	22	0	0.043478260869565216
FBgn0028683	GO:0032786	46	5	1	0.0392156862745098
FBgn0011592	GO:0032786	82	5	0	0.011494252873563218
FBgn0003719	GO:0009953	7	38	2	0.06666666666666667
FBgn0029969	GO:0009953	38	38	0	0.013157894736842105
FBgn0052528	GO:0030036	15	86	0	0.009900990099009901
FBgn0262448	GO:0030036	1	86	0	0.011494252873563218
FBgn0053503	GO:0042369	4	1	0	0.2
FBgn0266175	GO:0042369	0	1	0	1.0
FBgn0033060	GO:0009451	81	11	0	0.010869565217391304
FBgn0086370	GO:0009451	29	11	0	0.025
FBgn0260941	GO:0048104	3	4	0	0.14285714285714285
FBgn0036415	GO:0048104	54	4	0	0.017241379310344827
FBgn0053481	GO:0032589	4	26	1	0.06666666666666667
FBgn0034729	GO:0032589	16	26	0	0.023809523809523808
FBgn0037359	GO:0005515	58	958	25	0.025590551181102362
FBgn0000057	GO:0005515	7	958	3	0.004145077720207254
FBgn0037515	GO:0004252	7	280	1	0.006968641114982578
FBgn0040285	GO:0004252	57	280	0	0.002967359050445104
FBgn0003034	GO:0005615	1	685	0	0.0014577259475218659
FBgn0004956	GO:0005615	5	685	0	0.0014492753623188406
FBgn0284442	GO:0042555	10	7	4	0.29411764705882354
FBgn0086346	GO:0042555	86	7	0	0.010752688172043012
FBgn0050296	GO:0043005	1	90	0	0.01098901098901099
FBgn0001198	GO:0043005	0	90	0	0.011111111111111112
FBgn0011648	GO:0030509	202	11	6	0.03286384976525822
FBgn0035769	GO:0030509	78	11	0	0.011235955056179775
FBgn0024222	GO:0005524	187	643	30	0.03734939759036145
FBgn0037737	GO:0005524	78	643	5	0.008321775312066574
FBgn0038737	GO:0008168	18	49	0	0.014925373134328358
FBgn0036817	GO:0008168	0	49	0	0.02040816326530612
FBgn0037463	GO:0036126	7	30	0	0.02702702702702703
FBgn0031759	GO:0036126	104	30	0	0.007462686567164179
FBgn0000533	GO:0009953	10	38	3	0.08333333333333333
FBgn0010488	GO:0009953	36	38	0	0.013513513513513514
FBgn0035241	GO:0005575	4	2646	0	0.0003773584905660377
FBgn0032315	GO:0005575	0	2646	0	0.0003779289493575208
FBgn0004363	GO:0005739	447	623	49	0.04672897196261682
FBgn0015331	GO:0005739	117	623	6	0.00945945945945946
FBgn0037115	GO:0030955	5	6	0	0.09090909090909091
FBgn0261617	GO:0030955	370	6	1	0.005319148936170213
FBgn0040752	GO:0035331	32	45	0	0.012987012987012988
FBgn0016984	GO:0035331	36	45	0	0.012345679012345678
FBgn0038258	GO:0000287	11	50	0	0.01639344262295082
FBgn0051992	GO:0000287	47	50	0	0.010309278350515464
FBgn0042177	GO:0006606	31	49	0	0.0125
FBgn0010282	GO:0006606	53	49	0	0.00980392156862745
FBgn0050476	GO:0009898	47	17	0	0.015625
FBgn0015618	GO:0009898	111	17	0	0.0078125
FBgn0050277	GO:0071702	0	11	0	0.09090909090909091
FBgn0284252	GO:0071702	10	11	0	0.047619047619047616
FBgn0037906	GO:0005515	4	958	1	0.002079002079002079
FBgn0002936	GO:0005515	30	958	7	0.008097165991902834
FBgn0038467	GO:0070626	17	1	0	0.05555555555555555
FBgn0085472	GO:0070626	0	1	0	1.0
FBgn0035266	GO:0046167	18	3	0	0.047619047619047616
FBgn0262150	GO:0046167	0	3	0	0.3333333333333333
FBgn0040958	GO:0008061	3	123	0	0.007936507936507936
FBgn0004655	GO:0008061	14	123	0	0.0072992700729927005
FBgn0039759	GO:0005615	0	685	0	0.00145985401459854
FBgn0003936	GO:0005615	0	685	0	0.00145985401459854
FBgn0000504	GO:0005515	66	958	11	0.01171875
FBgn0024836	GO:0005515	34	958	11	0.012096774193548387
FBgn0261556	GO:0035025	43	16	0	0.01694915254237288
FBgn0039664	GO:0035025	2	16	0	0.05555555555555555
FBgn0002552	GO:0005634	7	2250	5	0.002658396101019052
FBgn0000562	GO:0005634	43	2250	11	0.005233318796336677
FBgn0041246	GO:0050913	0	5	0	0.2
FBgn0283680	GO:0050913	23	5	0	0.03571428571428571
FBgn0027106	GO:0005243	14	8	0	0.045454545454545456
FBgn0040697	GO:0005243	1	8	0	0.1111111111111111
FBgn0284220	GO:0051310	33	3	0	0.027777777777777776
FBgn0051116	GO:0051310	15	3	0	0.05555555555555555
FBgn0039597	GO:0004252	0	280	0	0.0035714285714285713
FBgn0032016	GO:0004252	36	280	0	0.0031645569620253164
FBgn0000079	GO:0004556	2	3	0	0.2
FBgn0263987	GO:0004556	74	3	0	0.012987012987012988
FBgn0261849	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0250832	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0022768	GO:0016491	10	215	0	0.0044444444444444444
FBgn0026395	GO:0016491	0	215	0	0.004651162790697674
FBgn0265193	GO:0001228	7	92	1	0.020202020202020204
FBgn0039274	GO:0001228	48	92	0	0.007142857142857143
FBgn0260450	GO:0005737	4	1863	2	0.0016068559185859668
FBgn0014020	GO:0005737	143	1863	58	0.029411764705882353
FBgn0037707	GO:0005737	123	1863	40	0.020644511581067473
FBgn0004652	GO:0005737	41	1863	4	0.0026260504201680674
FBgn0033443	GO:0005326	7	21	0	0.03571428571428571
FBgn0000756	GO:0005326	0	21	0	0.047619047619047616
FBgn0027054	GO:0001751	203	31	1	0.008547008547008548
FBgn0053866	GO:0001751	0	31	0	0.03225806451612903
FBgn0000606	GO:0008045	14	70	0	0.011904761904761904
FBgn0041604	GO:0008045	34	70	3	0.038461538461538464
FBgn0283536	GO:0046961	6	32	1	0.05263157894736842
FBgn0037906	GO:0046961	4	32	0	0.027777777777777776
FBgn0262436	GO:0035195	0	156	0	0.00641025641025641
FBgn0259678	GO:0035195	7	156	0	0.006134969325153374
FBgn0086657	GO:0005515	360	958	67	0.051593323216995446
FBgn0000330	GO:0005515	26	958	3	0.0040650406504065045
FBgn0035942	GO:0004832	83	2	0	0.011764705882352941
FBgn0039120	GO:0004832	64	2	0	0.015151515151515152
FBgn0015789	GO:0110011	135	4	1	0.014388489208633094
FBgn0015589	GO:0110011	115	4	0	0.008403361344537815
FBgn0053397	GO:0022626	0	175	0	0.005714285714285714
FBgn0011293	GO:0022626	2	175	0	0.005649717514124294
FBgn0004647	GO:0001745	427	119	13	0.02564102564102564
FBgn0010303	GO:0001745	61	119	3	0.022222222222222223
FBgn0034880	GO:0007155	3	69	0	0.013888888888888888
FBgn0011604	GO:0007155	131	69	1	0.01
FBgn0030839	GO:0033925	4	1	0	0.2
FBgn0024277	GO:0033925	42	1	0	0.023255813953488372
FBgn0037647	GO:0003924	51	148	1	0.010050251256281407
FBgn0032054	GO:0003924	50	148	0	0.005050505050505051
FBgn0020278	GO:0060857	29	19	2	0.0625
FBgn0025615	GO:0060857	26	19	0	0.022222222222222223
FBgn0026398	GO:0007608	4	116	1	0.016666666666666666
FBgn0039058	GO:0007608	93	116	0	0.004784688995215311
FBgn0010750	GO:0000993	123	15	4	0.036231884057971016
FBgn0004456	GO:0000993	47	15	0	0.016129032258064516
FBgn0263316	GO:0016887	8	237	0	0.004081632653061225
FBgn0028962	GO:0016887	4	237	0	0.004149377593360996
FBgn0010602	GO:0016925	447	14	5	0.013015184381778741
FBgn0014011	GO:0016925	136	14	1	0.013333333333333334
FBgn0030263	GO:0005743	14	97	0	0.009009009009009009
FBgn0010583	GO:0005743	222	97	1	0.006269592476489028
FBgn0085370	GO:0004115	10	4	0	0.07142857142857142
FBgn0034641	GO:0004115	23	4	0	0.037037037037037035
FBgn0004784	GO:0019722	126	14	0	0.007142857142857143
FBgn0053804	GO:0019722	0	14	0	0.07142857142857142
FBgn0010329	GO:0008049	2	85	0	0.011494252873563218
FBgn0017577	GO:0008049	138	85	0	0.004484304932735426
FBgn0010352	GO:0004591	66	3	1	0.028985507246376812
FBgn0051851	GO:0004591	0	3	0	0.3333333333333333
FBgn0039900	GO:0031982	4	60	0	0.015625
FBgn0024362	GO:0031982	4	60	0	0.015625
FBgn0262736	GO:1902600	219	58	16	0.061371841155234655
FBgn0038146	GO:1902600	61	58	0	0.008403361344537815
FBgn0020381	GO:0061057	139	18	8	0.05732484076433121
FBgn0032940	GO:0061057	15	18	0	0.030303030303030304
FBgn0035423	GO:0016282	191	5	3	0.02040816326530612
FBgn0033159	GO:0016282	20	5	0	0.04
FBgn0261703	GO:0000978	17	368	4	0.012987012987012988
FBgn0003429	GO:0000978	21	368	0	0.002570694087403599
FBgn0286786	GO:0042254	0	28	0	0.03571428571428571
FBgn0011591	GO:0042254	26	28	1	0.037037037037037035
FBgn0051141	GO:0009922	201	20	19	0.09049773755656108
FBgn0021765	GO:0009922	117	20	0	0.0072992700729927005
FBgn0266518	GO:0005515	33	958	7	0.008072653884964682
FBgn0015589	GO:0005515	115	958	43	0.04100652376514446
FBgn0024257	GO:0031223	0	15	0	0.06666666666666667
FBgn0034315	GO:0031223	20	15	0	0.02857142857142857
FBgn0263270	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0003716	GO:0003674	197	3150	5	0.00179265013444876
FBgn0037713	GO:0034477	7	1	0	0.125
FBgn0052062	GO:0034477	61	1	0	0.016129032258064516
FBgn0062627	GO:0003674	0	3150	0	0.00031746031746031746
FBgn0040475	GO:0003674	51	3150	5	0.0018744142455482662
FBgn0004607	GO:0006357	12	615	4	0.007974481658692184
