protein	goTerm	degree	score
FBgn0042085	GO:0003677	48	0.038180341186027617
FBgn0034854	GO:0003677	26	0.020308692120227456
FBgn0013772	GO:0004497	141	0.11372867587327376
FBgn0027052	GO:0004497	159	0.12835093419983754
FBgn0010341	GO:0007391	175	0.1413484971567831
FBgn0260388	GO:0007391	5	0.003249390739236393
FBgn0045759	GO:0006355	75	0.06011372867587327
FBgn0041171	GO:0006355	174	0.14053614947197401
FBgn0050382	GO:0006511	145	0.11697806661251016
FBgn0038285	GO:0006511	5	0.003249390739236393
FBgn0037330	GO:0032543	227	0.18359057676685622
FBgn0004864	GO:0032543	163	0.13160032493907392
FBgn0000618	GO:0071819	150	0.12103980503655565
FBgn0001233	GO:0071819	810	0.6571892770105605
FBgn0050277	GO:0015347	8	0.005686433793663688
FBgn0016920	GO:0015347	78	0.06255077173030058
FBgn0032609	GO:0000166	31	0.024370430544272948
FBgn0266076	GO:0000166	11	0.008123476848090982
FBgn0015513	GO:0035212	70	0.056051990251827784
FBgn0034568	GO:0035212	17	0.012997562956945572
FBgn0000536	GO:0016319	23	0.017871649065800164
FBgn0062517	GO:0016319	11	0.008123476848090982
FBgn0039240	GO:0006508	35	0.02761982128350934
FBgn0033737	GO:0006508	104	0.08367181153533712
FBgn0052152	GO:0016274	4	0.002437043054427295
FBgn0050441	GO:0016274	33	0.025995125913891144
FBgn0037324	GO:0005516	18	0.01380991064175467
FBgn0004513	GO:0005516	39	0.030869212022745736
FBgn0052670	GO:0030140	17	0.012997562956945572
FBgn0260442	GO:0030140	55	0.043866774979691305
FBgn0026394	GO:0016020	7	0.00487408610885459
FBgn0039694	GO:0016020	22	0.017059301380991064
FBgn0052598	GO:0005854	9	0.006498781478472786
FBgn0039848	GO:0005854	7	0.00487408610885459
FBgn0025825	GO:0004407	132	0.10641754670999187
FBgn0039638	GO:0004407	50	0.039805036555645816
FBgn0043903	GO:0045475	101	0.08123476848090982
FBgn0025741	GO:0045475	48	0.038180341186027617
FBgn0051053	GO:0007131	11	0.008123476848090982
FBgn0284253	GO:0007131	14	0.010560519902518278
FBgn0263979	GO:0005634	119	0.0958570268074736
FBgn0004872	GO:0005634	84	0.06742485783915515
FBgn0022355	GO:0008233	39	0.030869212022745736
FBgn0011283	GO:0008233	12	0.008935824532900082
FBgn0028577	GO:0000398	211	0.17059301380991065
FBgn0031848	GO:0000398	20	0.015434606011372868
FBgn0034880	GO:0008305	15	0.011372867587327376
FBgn0010225	GO:0008305	51	0.04061738424045491
FBgn0025641	GO:0005865	101	0.08123476848090982
FBgn0261984	GO:0005865	92	0.07392363931762795
FBgn0262583	GO:0005575	3	0.0016246953696181965
FBgn0025864	GO:0005575	26	0.020308692120227456
FBgn0086712	GO:0051793	19	0.01462225832656377
